Nome da Vaga,Nome da Empresa,Local da Vaga,Foi postada a:,Link da vaga:
Pessoa Estagiária | Planejamento e BI,C6 Bank,"São Paulo, SP",Há 2 dias,https://br.linkedin.com/jobs/view/pessoa-estagi%C3%A1ria-planejamento-e-bi-at-c6-bank-4299265579?position=1&pageNum=0&refId=e2w0%2Fw1vytdc3yeJ7zFdaQ%3D%3D&trackingId=bc9DDCOgWu1Q3suvXa%2BATg%3D%3D
Business Intelligence JR,Bradesco,"Osasco, SP",Há 6 dias,https://br.linkedin.com/jobs/view/business-intelligence-jr-at-banco-bradesco-4331348122?position=2&pageNum=0&refId=e2w0%2Fw1vytdc3yeJ7zFdaQ%3D%3D&trackingId=ci86FXuXi1fGCJMEEo37WQ%3D%3D
Analista de Operações Jr. - (Conciliação Financeira),Banco PAN,"São Paulo, SP",Há 6 dias,https://br.linkedin.com/jobs/view/analista-de-opera%C3%A7%C3%B5es-jr-concilia%C3%A7%C3%A3o-financeira-at-banco-pan-4331184976?position=3&pageNum=0&refId=e2w0%2Fw1vytdc3yeJ7zFdaQ%3D%3D&trackingId=a0p%2BAyGjyG%2Bo6zECC8pOTw%3D%3D
Data Scientist JR,Bradesco,"Osasco, SP",Há 6 dias,https://br.linkedin.com/jobs/view/data-scientist-jr-at-banco-bradesco-4331344146?position=4&pageNum=0&refId=e2w0%2Fw1vytdc3yeJ7zFdaQ%3D%3D&trackingId=XT4yBc1hnsLYRVbs%2FvCXqw%3D%3D
Banco de Talentos - Business Analytics,XP Inc.,"São Paulo, SP",Há 6 dias,https://br.linkedin.com/jobs/view/banco-de-talentos-business-analytics-at-xp-inc-4198275911?position=5&pageNum=0&refId=e2w0%2Fw1vytdc3yeJ7zFdaQ%3D%3D&trackingId=2NIcDB7BY1n1dbRpLRuHMg%3D%3D
Analista de Dados e Qualidade Junior,Shopee,"São Paulo, SP",Há 6 dias,https://br.linkedin.com/jobs/view/analista-de-dados-e-qualidade-junior-at-shopee-4318327757?position=6&pageNum=0&refId=e2w0%2Fw1vytdc3yeJ7zFdaQ%3D%3D&trackingId=LreUsVRPiuzKm1OlhfXQ6w%3D%3D
Analista de Operações Financeiras Junior,Cora,Brasil,Há 3 dias,https://br.linkedin.com/jobs/view/analista-de-opera%C3%A7%C3%B5es-financeiras-junior-at-cora-4319223939?position=7&pageNum=0&refId=e2w0%2Fw1vytdc3yeJ7zFdaQ%3D%3D&trackingId=h4BAPIZtkCBSgZwbDLTb3A%3D%3D
Assistente de Gestão de Dados - Matriz (Rio de Janeiro),Origem Energia,"Rio de Janeiro, RJ",Há 10 horas,https://br.linkedin.com/jobs/view/assistente-de-gest%C3%A3o-de-dados-matriz-rio-de-janeiro-at-origem-energia-4309587407?position=8&pageNum=0&refId=e2w0%2Fw1vytdc3yeJ7zFdaQ%3D%3D&trackingId=kDsWrBabAr6oZyPSNWTDEA%3D%3D
Analista de Dados DA Jr,Apsen Farmacêutica,"São Paulo, SP",Há 1 dia,https://br.linkedin.com/jobs/view/analista-de-dados-da-jr-at-apsen-farmac%C3%AAutica-4324753186?position=9&pageNum=0&refId=e2w0%2Fw1vytdc3yeJ7zFdaQ%3D%3D&trackingId=EGekPBKwNwEtXEcUESEvog%3D%3D
Analista de Operações JR,Bradesco,"Osasco, SP",Há 1 dia,https://br.linkedin.com/jobs/view/analista-de-opera%C3%A7%C3%B5es-jr-at-banco-bradesco-4332739715?position=10&pageNum=0&refId=e2w0%2Fw1vytdc3yeJ7zFdaQ%3D%3D&trackingId=3nsbcHct7rRxJtMfB99AsQ%3D%3D
