Nome da Vaga,Nome da Empresa,Local da Vaga,Foi postada a:,Link da vaga:
Analista de Automação & IA - RJ,Grupo DDM,Rio de Janeiro e Região,Há 2 dias,https://br.linkedin.com/jobs/view/analista-de-automa%C3%A7%C3%A3o-ia-rj-at-grupo-ddm-4318426734?position=1&pageNum=0&refId=JDmEwEkf8G330%2BNOSvE11Q%3D%3D&trackingId=oPiw9Ua9keNVIGV8amOLiA%3D%3D
Analista de Automação São Mateus - ES,EMFLORA - Empreendimentos Florestais Ltda,"São Mateus, ES",Há 1 dia,https://br.linkedin.com/jobs/view/analista-de-automa%C3%A7%C3%A3o-s%C3%A3o-mateus-es-at-emflora-empreendimentos-florestais-ltda-4324729198?position=2&pageNum=0&refId=JDmEwEkf8G330%2BNOSvE11Q%3D%3D&trackingId=XiNnzvdO2QqOQfXuc7N9XQ%3D%3D
Analista de Processos e Qualidade Sênior - Faria Lima/SP,CiX Citizen Experience,"São Paulo, SP",Há 5 dias,https://br.linkedin.com/jobs/view/analista-de-processos-e-qualidade-s%C3%AAnior-faria-lima-sp-at-cix-citizen-experience-4317607162?position=3&pageNum=0&refId=JDmEwEkf8G330%2BNOSvE11Q%3D%3D&trackingId=ZDWwQtLh1%2FzVvXjhQn2COg%3D%3D
Analista de Atendimento e Suporte Técnico,Configr,Brasil,Há 22 horas,https://br.linkedin.com/jobs/view/analista-de-atendimento-e-suporte-t%C3%A9cnico-at-configr-4333083100?position=4&pageNum=0&refId=JDmEwEkf8G330%2BNOSvE11Q%3D%3D&trackingId=C1sVdn8tFw%2FSJirDtpqq9g%3D%3D
Analista de Processos de Montagem,Viemar Automotive,Porto Alegre e Região,Há 9 horas,https://br.linkedin.com/jobs/view/analista-de-processos-de-montagem-at-viemar-automotive-4331467051?position=5&pageNum=0&refId=JDmEwEkf8G330%2BNOSvE11Q%3D%3D&trackingId=gspDXT53v6%2B9FdMytJ69SQ%3D%3D
Desenvolvedor de Automação de Processos - RJ,innolevels,Rio de Janeiro e Região,Há 2 dias,https://br.linkedin.com/jobs/view/desenvolvedor-de-automa%C3%A7%C3%A3o-de-processos-rj-at-innolevels-4318424161?position=6&pageNum=0&refId=JDmEwEkf8G330%2BNOSvE11Q%3D%3D&trackingId=4lBfU3ju9VS1hGbQrbRpBQ%3D%3D
Analista de Automação JR,Markdata Technologies,"São Paulo, Brasil",Há 3 dias,https://br.linkedin.com/jobs/view/analista-de-automa%C3%A7%C3%A3o-jr-at-markdata-technologies-4318407121?position=7&pageNum=0&refId=JDmEwEkf8G330%2BNOSvE11Q%3D%3D&trackingId=1ye8dr6%2FZKn%2BBcC%2FkD%2BpDQ%3D%3D
Mentores de QA (Part-time),TripleTen,"São Paulo, SP",Há 6 dias,https://br.linkedin.com/jobs/view/mentores-de-qa-part-time-at-tripleten-4323980944?position=8&pageNum=0&refId=JDmEwEkf8G330%2BNOSvE11Q%3D%3D&trackingId=a1%2Bq0vmv8JHac3c00f43HA%3D%3D
Engenhario(a) de Machine Learning (Sênior),A3Data,"Belo Horizonte, MG",Há 2 dias,https://br.linkedin.com/jobs/view/engenhario-a-de-machine-learning-s%C3%AAnior-at-a3data-4332331899?position=9&pageNum=0&refId=JDmEwEkf8G330%2BNOSvE11Q%3D%3D&trackingId=4SIE45tL%2BUVqHmEiu8yFlw%3D%3D
Analista de Dados júnior,Empresa Confidencial,"São Paulo, SP",Há 1 dia,https://br.linkedin.com/jobs/view/analista-de-dados-j%C3%BAnior-at-empresa-confidencial-4318947112?position=10&pageNum=0&refId=JDmEwEkf8G330%2BNOSvE11Q%3D%3D&trackingId=J71xe1Uev5VweJGJmkrn0g%3D%3D
