Nome da Vaga,Nome da Empresa,Local da Vaga,Foi postada a:,Link da vaga:
Product Engineer com foco em Automação de Testes (QA),Bradesco,"Curitiba, PR",Há 6 dias,https://br.linkedin.com/jobs/view/product-engineer-com-foco-em-automa%C3%A7%C3%A3o-de-testes-qa-at-banco-bradesco-4331334893?position=1&pageNum=0&refId=Dq52VU70QCxAknbwL%2FGyCQ%3D%3D&trackingId=as3c6Dfx1ckNtqiUMzBk8w%3D%3D
QA Analyst Junior,Gringo,Brasil,Há 2 dias,https://br.linkedin.com/jobs/view/qa-analyst-junior-at-gringo-4318913874?position=2&pageNum=0&refId=Dq52VU70QCxAknbwL%2FGyCQ%3D%3D&trackingId=24x27q%2BazdBJMWSS3GsOQQ%3D%3D
Analista de Qualidade de Software / QA JR (REMOTO),NEXTI,"São José, SC",Há 22 horas,https://br.linkedin.com/jobs/view/analista-de-qualidade-de-software-qa-jr-remoto-at-nexti-4333002953?position=3&pageNum=0&refId=Dq52VU70QCxAknbwL%2FGyCQ%3D%3D&trackingId=4q3FpbshU3YTRq7RjO9fug%3D%3D
Q.A Jr ✨🚀,Smart NX,Brasil,Há 3 dias,https://br.linkedin.com/jobs/view/q-a-jr-%E2%9C%A8%F0%9F%9A%80-at-smart-nx-4318057115?position=4&pageNum=0&refId=Dq52VU70QCxAknbwL%2FGyCQ%3D%3D&trackingId=iHmt%2BQkN7JX539NcCxco%2Bw%3D%3D
Tester (QA) - Presencial,Essentia Group - Enhanced Company,"Palhoça, SC",Há 3 dias,https://br.linkedin.com/jobs/view/tester-qa-presencial-at-essentia-group-enhanced-company-4318055108?position=5&pageNum=0&refId=Dq52VU70QCxAknbwL%2FGyCQ%3D%3D&trackingId=N5GJ1LGzgZ2c6NSYv3NGnA%3D%3D
Analista QA III (Sênior),CSP Tech,Brasil,Há 5 dias,https://br.linkedin.com/jobs/view/analista-qa-iii-s%C3%AAnior-at-csp-tech-4318817525?position=6&pageNum=0&refId=Dq52VU70QCxAknbwL%2FGyCQ%3D%3D&trackingId=Q8C8QBWoqnWwIRx8UEQcEQ%3D%3D
Quality Assurance Engineer,SAAGA Solve,Brasil,Há 6 dias,https://br.linkedin.com/jobs/view/quality-assurance-engineer-at-saaga-solve-4332015087?position=7&pageNum=0&refId=Dq52VU70QCxAknbwL%2FGyCQ%3D%3D&trackingId=9fqf15O8GaqFtFAj8l7cgA%3D%3D
Líder de Disciplina de Automação e Instrumentação,GRUPO MONTO,"Rio de Janeiro, RJ",Há 3 dias,https://br.linkedin.com/jobs/view/l%C3%ADder-de-disciplina-de-automa%C3%A7%C3%A3o-e-instrumenta%C3%A7%C3%A3o-at-grupo-monto-4318404306?position=8&pageNum=0&refId=Dq52VU70QCxAknbwL%2FGyCQ%3D%3D&trackingId=cGn0Kr3J4TrpJ2%2FQFdvuug%3D%3D
SR QA Engineer – Manual & Automation Testing,ília,Brasil,Há 4 dias,https://br.linkedin.com/jobs/view/sr-qa-engineer-%E2%80%93-manual-automation-testing-at-%C3%ADlia-4309193026?position=9&pageNum=0&refId=Dq52VU70QCxAknbwL%2FGyCQ%3D%3D&trackingId=LpHZ1tL4Qsoy3T%2F7tnDoMw%3D%3D
Quality Assurance Analyst,Tata Consultancy Services,"São Paulo, Brasil",Há 1 dia,https://br.linkedin.com/jobs/view/quality-assurance-analyst-at-tata-consultancy-services-4085704193?position=10&pageNum=0&refId=Dq52VU70QCxAknbwL%2FGyCQ%3D%3D&trackingId=qKcz9xOAsroy%2BtfMocDg4Q%3D%3D
